// chi-square distribution of 1000 values with dof = 4, avg = 4,01 
// generated with https://www.had2know.org/academics/chi-squared-random-variable-generator.html
// GL, 2022-12-26
## timestamp;Blue
0;2
1;3
2;4
3;0
4;5
5;4
6;1
7;2
8;4
9;2
10;1
11;3
12;2
13;2
14;4
15;2
16;2
17;2
18;0
19;2
20;4
21;1
22;3
23;1
24;1
25;1
26;2
27;3
28;3
29;2
30;3
31;1
32;0
33;1
34;1
35;2
36;3
37;2
38;3
39;2
40;1
41;2
42;2
43;2
44;5
45;1
46;4
47;2
48;2
49;3
50;3
51;2
52;1
53;3
54;2
55;2
56;1
57;1
58;2
59;0
60;0
61;1
62;3
63;1
64;2
65;2
66;1
67;2
68;3
69;4
70;7
71;4
72;2
73;2
74;2
75;1
76;4
77;1
78;0
79;1
80;0
81;2
82;1
83;3
84;3
85;4
86;3
87;3
88;3
89;1
90;2
91;2
92;3
93;2
94;2
95;6
96;1
97;4
98;1
99;2
100;1
101;4
102;3
103;0
104;2
105;2
106;2
107;2
108;1
109;5
110;3
111;1
112;1
113;2
114;1
115;4
116;3
117;1
118;3
119;2
120;1
121;0
122;3
123;2
124;1
125;2
126;1
127;2
128;4
129;1
130;1
131;2
132;3
133;3
134;3
135;1
136;4
137;2
138;2
139;1
140;3
141;2
142;2
143;3
144;2
145;1
146;2
147;4
148;3
149;1
150;2
151;4
152;2
153;1
154;2
155;1
156;2
157;2
158;3
159;1
160;2
161;6
162;3
163;1
164;3
165;1
166;1
167;2
168;1
169;3
170;4
171;1
172;5
173;3
174;5
175;3
176;2
177;1
178;3
179;1
180;1
181;2
182;1
183;2
184;1
185;1
186;1
187;0
188;2
189;5
190;5
191;1
192;2
193;3
194;2
195;1
196;1
197;3
198;5
199;1
200;3
201;3
202;4
203;1
204;0
205;1
206;1
207;6
208;3
209;3
210;3
211;3
212;0
213;2
214;2
215;3
216;1
217;4
218;1
219;4
220;5
221;2
222;2
223;4
224;1
225;3
226;1
227;1
228;3
229;1
230;2
231;5
232;1
233;1
234;4
235;1
236;1
237;0
238;1
239;1
240;2
241;2
242;3
243;2
244;6
245;3
246;0
247;6
248;4
249;2
250;2
251;1
252;1
253;5
254;4
255;3
256;2
257;3
258;5
259;1
260;5
261;2
262;8
263;1
264;4
265;1
266;2
267;5
268;7
269;1
270;1
271;2
272;1
273;5
274;2
275;1
276;4
277;3
278;1
279;3
280;2
281;1
282;1
283;1
284;2
285;2
286;1
287;1
288;2
289;1
290;0
291;3
292;2
293;6
294;1
295;0
296;1
297;3
298;4
299;3
300;3
301;2
302;1
303;1
304;1
305;2
306;1
307;1
308;2
309;3
310;3
311;2
312;2
313;2
314;2
315;1
316;1
317;4
318;2
319;2
320;4
321;5
322;3
323;1
324;2
325;2
326;4
327;3
328;0
329;0
330;2
331;2
332;1
333;1
334;1
335;4
336;1
337;5
338;1
339;5
340;1
341;1
342;4
343;1
344;1
345;1
346;3
347;3
348;1
349;2
350;2
351;4
352;1
353;3
354;1
355;1
356;1
357;1
358;1
359;1
360;2
361;1
362;2
363;2
364;4
365;1
366;8
367;3
368;2
369;4
370;1
371;3
372;5
373;1
374;2
375;2
376;1
377;7
378;1
379;5
380;1
381;1
382;1
383;3
384;1
385;1
386;1
387;2
388;3
389;3
390;1
391;2
392;4
393;3
394;1
395;4
396;1
397;2
398;1
399;7
400;1
401;2
402;1
403;1
404;1
405;5
406;2
407;3
408;0
409;2
410;1
411;2
412;1
413;2
414;1
415;2
416;1
417;3
418;1
419;1
420;2
421;1
422;1
423;2
424;1
425;1
426;4
427;3
428;3
429;2
430;1
431;3
432;2
433;2
434;5
435;2
436;3
437;4
438;2
439;7
440;1
441;5
442;3
443;2
444;2
445;1
446;3
447;3
448;3
449;2
450;2
451;2
452;1
453;3
454;4
455;3
456;2
457;7
458;2
459;1
460;2
461;3
462;2
463;2
464;3
465;5
466;2
467;0
468;1
469;3
470;3
471;7
472;3
473;2
474;4
475;1
476;1
477;2
478;5
479;2
480;1
481;3
482;4
483;2
484;3
485;2
486;5
487;2
488;1
489;1
490;2
491;1
492;1
493;1
494;2
495;2
496;1
497;1
498;3
499;4
500;2
501;1
502;3
503;3
504;1
505;2
506;3
507;2
508;2
509;1
510;1
511;1
512;2
513;2
514;1
515;2
516;2
517;1
518;3
519;1
520;2
521;1
522;3
523;4
524;1
525;1
526;3
527;3
528;1
529;1
530;7
531;1
532;1
533;1
534;1
535;1
536;2
537;4
538;1
539;3
540;2
541;3
542;1
543;3
544;2
545;0
546;1
547;4
548;4
549;3
550;4
551;2
552;1
553;1
554;1
555;1
556;2
557;3
558;1
559;1
560;2
561;6
562;1
563;3
