// first csv test file Dec 2022
// G.Lindorfer
## timestamp;Blue;Green
0;1;1
1;0;3
2;0;0
3;1;0
4;1;1
5;0;0
6;2;2
7;0;2
8;0;2
9;1;0
// more work orders ...
10;1;0
11;0;0
12;0;3
//?? show aggregated run stats
13;2;1
14;0;0
15;1;0
16;3;2
17;0;0
18;0;0
19;0;0
20;1;1
21;0;3
22;0;5
23;1;0
24;1;1
25;0;0
26;2;1
27;0;2
28;0;2
29;1;0
// more work orders ...
30;1;0
31;0;0
32;0;1
//?? show aggregated run stats
33;2;0
34;0;1
35;1;0
36;3;2
37;0;0
38;0;0
39;0;2
?? show aggregated run stats
